医疗机构名称,本地机构编码,医保区划,机构类别,医院等级,联系地址
北京市平谷区峪口镇小官庄村卫生室,17106699,平谷区,村卫生室,无等级,北京市平谷区峪口镇小官庄村老村委会
北京市平谷区峪口镇桥头村卫生室,17106695,平谷区,村卫生室,无等级,北京市平谷区峪口镇桥头村委会东
北京市平谷区南独乐河镇新立村村卫生室,17106830,平谷区,村卫生室,无等级,北京市平谷区南独乐河镇新立村西公园院内
北京市平谷区王辛庄镇熊耳营村卫生室,17106731,平谷区,村卫生室,无等级,北京市平谷区王辛庄镇熊耳营村北街
北京市平谷区东高村镇高家庄村卫生室,17106775,平谷区,村卫生室,无等级,北京市平谷区东高村镇高家庄村东路38号
北京市平谷区峪口镇胡辛庄村卫生室,17106696,平谷区,村卫生室,无等级,北京市平谷区峪口镇胡辛庄西路1号
北京市平谷区王辛庄镇西古村卫生室,17106733,平谷区,村卫生室,无等级,北京市平谷区王辛庄镇西古村北小街115号院
北京市平谷区东高村镇张岱辛撞村卫生室,17106781,平谷区,村卫生室,无等级,北京市平谷区东高村镇辛撞北路与辛撞中路交叉路口往东200米
北京市平谷区平谷镇西寺渠村卫生室,17106720,平谷区,村卫生室,无等级,北京市平谷区平谷镇西寺渠西路93号
北京市平谷区马昌营镇毛官营村卫生室,17106812,平谷区,村卫生室,无等级,北京市平谷区马昌营镇毛官营五音石路西二巷1号东侧
北京市平谷区平谷镇东寺渠村卫生室,17106716,平谷区,村卫生室,无等级,北京市平谷区平谷镇新平南路23号
北京市平谷区大兴庄镇良庄子村卫生室,17106770,平谷区,村卫生室,无等级,北京市平谷区大兴庄镇良庄子村南西路41号
北京市平谷区平谷镇胜利街村卫生室,17106722,平谷区,村卫生室,无等级,北京市平谷区平谷镇平谷南街8号
北京市平谷区马昌营镇薄各庄村卫生室,17106813,平谷区,村卫生室,无等级,北京市平谷区马昌营镇薄各庄村民委员会对面
北京市平谷区大兴庄镇周庄子村卫生室,17106767,平谷区,村卫生室,无等级,北京市平谷区大兴庄镇周庄子村南街217号
北京市平谷区大兴庄镇三府庄村卫生室,17106766,平谷区,村卫生室,无等级,北京市平谷区大兴庄镇三府庄村东路7排1号
北京市平谷区马昌营镇西双营村卫生室,17106810,平谷区,村卫生室,无等级,北京市平谷区马昌营镇西双营村西路1号
